ISO3,Year,predicted_probability
CRI,1996,0.020523444404662448
CRI,1998,0.023747150282842702
CRI,2000,0.020964716662477043
CRI,2002,0.02035570355922202
CRI,2003,0.020329809089456728
CRI,2004,0.021423286326420894
CRI,2005,0.020291122324070997
CRI,2006,0.02025262073477774
CRI,2007,0.02034132725690961
CRI,2008,0.022679508588495337
CRI,2009,0.02088909512872028
CRI,2010,0.020319666379596424
CRI,2011,0.021250730323712542
CRI,2012,0.02025262073477774
CRI,2013,0.02025262073477774
CRI,2014,0.02025262073477774
CRI,2015,0.02025262073477774
CRI,2016,0.02025262073477774
CRI,2017,0.021200773522143456
CRI,2018,0.02025262073477774
CUB,1996,0.021087679681484214
CUB,1998,0.021742583174360692
CUB,2000,0.02090831858017282
CUB,2002,0.02044472850360882
CUB,2003,0.020425248276936696
CUB,2004,0.020799775305250612
CUB,2005,0.020796224881969038
CUB,2006,0.02111348468621534
CUB,2007,0.020283407219110944
CUB,2008,0.021277465445767096
CUB,2009,0.0206382783681491
CUB,2010,0.020996050261194128
CUB,2011,0.02040774153264937
CUB,2012,0.02025262073477774
CUB,2013,0.02025262073477774
CUB,2014,0.02032408545501719
CUB,2015,0.02025262073477774
CUB,2016,0.020619829909506417
CUB,2017,0.02068945378442877
CUB,2018,0.02025262073477774
CYP,1996,0.02206146544930346
CYP,1998,0.02057284244317018
CYP,2000,0.02054264155482743
CYP,2002,0.02054264155482743
CYP,2003,0.02098661059951661
CYP,2004,0.02054264155482743
CYP,2005,0.02025262073477774
CYP,2006,0.02025262073477774
CYP,2007,0.02025262073477774
CYP,2008,0.02031292372752626
CYP,2009,0.02025262073477774
CYP,2010,0.02025262073477774
CYP,2011,0.02025262073477774
CYP,2012,0.020713700590278866
CYP,2013,0.02177685212736742
CYP,2014,0.02025262073477774
CYP,2015,0.02050845708032272
CYP,2016,0.02025262073477774
CYP,2017,0.02054264155482743
CYP,2018,0.02025262073477774
CZE,1996,0.020919624719179502
CZE,1998,0.022022545957020412
CZE,2000,0.020844763578574663
CZE,2002,0.020851110833519804
CZE,2003,0.020947045769676903
CZE,2004,0.02031292372752626
CZE,2005,0.020725451863284727
